#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
2.120240480961923879e+01 2.659563319681360616e-01
2.128256513026052232e+01 2.588112710964943219e-01
2.136272545090180586e+01 2.490704396288120626e-01
2.144288577154308584e+01 2.405234748215865914e-01
2.152304609218436937e+01 2.288556348023895459e-01
2.160320641282565290e+01 2.157084676696175707e-01
2.168336673346693289e+01 2.032669011708408691e-01
2.176352705410821642e+01 1.922812731996475788e-01
2.184368737474949995e+01 1.807952395052833117e-01
2.192384769539078349e+01 1.672036228969011051e-01
2.200400801603206702e+01 1.568086117145205682e-01
2.208416833667334700e+01 1.460854940357078080e-01
2.216432865731463053e+01 1.375332483212106105e-01
2.224448897795591051e+01 1.298002437108887186e-01
2.232464929859719405e+01 1.222879109098428396e-01
2.240480961923847758e+01 1.159846024806999443e-01
2.248496993987976111e+01 1.088466339524367110e-01
2.256513026052104465e+01 1.047335005922926249e-01
2.264529058116232463e+01 9.938644001279824114e-02
2.272545090180360816e+01 9.446941246756607180e-02
2.280561122244489169e+01 9.150919816354836922e-02
2.288577154308617168e+01 8.833619107274946758e-02
2.296593186372745521e+01 8.523880014805869376e-02
2.304609218436873874e+01 8.251057269837142050e-02
2.312625250501002228e+01 7.934415105038949978e-02
2.320641282565130226e+01 7.657445430014436782e-02
2.328657314629258579e+01 7.381803064319421293e-02
2.336673346693386932e+01 7.009601313570867909e-02
2.344689378757514930e+01 6.690155798725362646e-02
2.352705410821643284e+01 6.343366641096423453e-02
2.360721442885771637e+01 5.992780854693102732e-02
2.368737474949899990e+01 5.642864806537124800e-02
2.376753507014028344e+01 5.242895345306992916e-02
2.384769539078156342e+01 4.953167291131511246e-02
2.392785571142284695e+01 4.622781739402473389e-02
2.400801603206412693e+01 4.282604284203370831e-02
2.408817635270541047e+01 3.993295915991974115e-02
2.416833667334669400e+01 3.687705413417683570e-02
2.424849699398797753e+01 3.384440950438005052e-02
2.432865731462926107e+01 3.108888550161415312e-02
2.440881763527054460e+01 2.795127153633602049e-02
2.448897795591182458e+01 2.560116251558897105e-02
2.456913827655310456e+01 2.345042615600471947e-02
