FLUX_BATSE_64,T90,FLUENCE_BATSE,PFLX_COMP_EPEAK,TRIGGER_TIME
1.0653,0.384,3.2598e-08,155.3529,60465.594432764
12.8364,0.256,6.112e-07,1015.254,60052.883026556
8.6059,1.472,2.3219e-07,260.6005,55845.093864523
2.6503,1.28,1.1691e-07,3208.53,58117.119052562
5.9735,1.472,2.2087e-07,0.0,59709.146601282
10.3712,0.32,2.4537e-07,393.5377,59936.997300454
7.4557,0.96,2.2887e-07,119.7571,56554.173382652
3.8087,0.704,1.7508e-07,67.12282,59593.584576538
0.1027,0.64,4.033e-08,0.0,60205.411533617
3.2782,0.88,2.6685e-08,388.8279,56415.214223946
1.8884,0.256,4.83e-08,171.6241,60123.23305739
3.3198,0.32,1.6018e-07,822.2206,58331.275735119
2.7743,0.672,2.5915e-08,333.3569,55675.758063037
2.748,0.064,7.9979e-08,421.657,56803.571466658
2.4985,1.536,2.2269e-07,72.94752,56204.210627217
3.0352,0.08,8.8063e-08,25.72617,57023.641371157
6.0222,0.032,1.2465e-07,0.0,60263.650245386
3.1382,0.64,2.1961e-07,584.0536,58011.51963271
3.6946,0.192,1.081e-07,1473.549,59934.915090136
3.9557,0.128,1.1883e-07,620.0573,56686.499324438
17.3395,1.728,1.924e-06,767.9626,60543.775030113
16.0573,0.08,3.63e-07,522.4109,56941.282180105
3.2755,1.728,1.1739e-07,419.144,56469.452127481
2.3583,0.896,1.564e-07,615.0071,58174.417293697
3.9952,0.448,1.431e-07,1898.088,54926.662978482
2.581,1.664,1.5862e-07,140.6515,56046.002861851
1.0076,1.28,6.3895e-08,1251.22,55955.311968214
4.2786,0.128,7.428e-08,673.1649,58249.363608631
10.9482,0.112,1.4326e-07,459.3614,55759.180447457
3.5973,0.768,1.2698e-07,172.8134,58717.705198102
19.5776,0.32,1.5378e-06,0.0,61054.486415624
7.171,0.192,1.3102e-07,1736.739,57604.967752555
5.1136,0.064,1.2046e-07,366.493,56506.730472257
5.2254,0.384,1.5108e-07,327.5499,55500.624684339
7.6127,0.704,3.903e-07,314.1826,59033.341430681
2.1479,0.576,8.3975e-08,0.0,60162.168430249
3.1982,1.28,4.2115e-07,628.1061,55504.809884851
4.3485,0.064,6.9131e-08,0.0,59511.065409708
2.2339,0.64,7.9133e-08,0.0,60626.076153086
2.2953,0.768,8.2964e-08,0.0,60004.686611519
9.8516,0.768,5.0891e-07,831.6712,57595.065367108
2.8472,0.704,1.2248e-07,217.3579,57208.588328796
3.3862,1.664,3.761e-07,0.0,58393.616520157
3.007,0.512,1.713e-07,138.3298,59282.998554734
24.1922,0.384,1.4644e-06,1399.5,56416.313928079
6.2622,0.576,1.7571e-07,197.455,60150.439477765
11.8018,0.144,3.448e-07,670.3316,57287.23436431
2.8836,0.256,1.4322e-07,0.0,60817.918053008
3.9757,0.288,9.5524e-08,3526.666,58176.211302784
5.8461,0.16,1.1145e-07,444.4234,59956.342042796
35.2604,0.152,4.8299e-07,94.8918,60486.31435915
5.3505,0.512,4.4359e-07,2015.308,56223.322418353
8.9296,0.64,4.6883e-07,1128.322,58935.872779691
2.4514,0.96,1.0395e-07,0.0,59789.428836929
2.3092,1.28,2.4042e-07,0.0,58565.547972713
1.0387,0.448,9.8984e-09,0.0,60397.514843949
1.574,1.152,2.0349e-07,224.1624,54998.156742271
2.3866,0.384,1.4343e-07,619.3962,57148.971703676
4.1513,0.32,2.073e-07,0.0,60374.928200808
2.0716,1.536,3.1569e-07,177.6666,55717.779734315
3.6688,1.152,2.9814e-07,125.8451,56569.903514841
3.6237,0.192,7.0494e-08,169.7243,54792.613498051
3.6426,0.32,2.5623e-07,326.0434,59114.717981685
2.5667,0.896,8.2537e-08,210.498,56862.533205728
3.4995,0.96,1.4143e-07,629.6583,55858.895859301
5.2259,0.256,1.9755e-07,240.0334,55213.879394252
0.813,1.664,6.6023e-08,0.0,55827.481070109
8.4992,0.224,2.6877e-07,363.7525,58664.256924989
3.8143,0.64,1.1271e-07,0.0,60902.492486521
5.1555,0.832,2.0804e-07,0.0,58692.271259866
1.5521,1.792,1.6386e-07,81.34022,57626.938088868
5.9472,0.704,6.7518e-07,451.5406,58314.754919691
4.3223,0.288,9.5465e-08,185.0969,60192.656247337
47.693,0.224,1.4418e-06,2708.371,58640.079951114
0.8285,0.704,3.2384e-08,252.5847,56107.56541298
9.1197,0.096,1.5318e-07,290.5131,56832.422695549
3.7588,1.12,7.3331e-08,0.0,60703.682566814
